label,text
"Positive","Are all three hosts providing storage/capacity? Or is one a witness? If all three have capacity drives, what'd you do with the witness? (and with them being NUCs, just how are you handling capacity and cache?)  I'm really wondering about two-node performance, as I currently have three hosts but one of them has FreeNAS virtualized and all the disk slots on that host are dedicated for that. I could add a DAS shelf or something, but I am very curious what it's like running v SAN with both capacity/cache only attached to two nodes and as far as the cluster is aware the third host is strictly only a VM host. And if that's where I'm heading, is the StarWind route going to offer something for performance and reliability with two storage nodes that VMware vSAN wouldn't be able to match with only two storage nodes?"
"Negative","would loved to had managed to get down to the Camden Crawl show, but it's a leetle too far away"
"Negative","Vending machine at work is out of Dasani water... boo"
"Positive","RT @VMwareEdu: Paul Maritz, CEO and President of VMware is named CRN's #1 Most Influential Executive of 2010"
"Positive","Had few folks ask, if you're interested Johnny Ferguson (PM) @vmwarelightwave will be doing vSphere Security Certificate Deep Dive #INF4946"
"Positive","Get notified of the latest #vSAN patch releases and more. #VirtualBlocks explains how:  http://bit.ly/2hm5nKg   http://fb.me/11kF29nfJ"
"Negative","End of general support is 3/12/2020.  6.5 and 6.7 apparently end on 11/5/2021.  I'm guessing that's why.  Probably other reasons I am not aware of."
"Negative","Placed 4th in funrun today in the 17-39 age group,could have done better not happy"
"Positive","Yup! Guys being currently under NDA know this for sure ))"
"Positive","Looks good, printed out for our office :)"
"Negative","I tried this and I get the corrupt VMX file error"
"Negative","I'm a sod  *sniff* only trying to pleasure, sorry please you m'lady :-O oh no he didn't"
"Negative","10-4.  I did that and they are ""OK"" but the rest of the stats are all meh, because there's no standardization in the industry, it's hard to decipher what's really a problem."
"Positive","Join me at #VMware's #vForumOnline on 10/9 for my keynote on the four technology superpowers & how VMware's pushing the boundaries of what's possible. We'll also be showcasing a variety of other breakout sessions, chats with experts & Hands-On Labs. RSVP:  https://bit.ly/2O8bDpH"
"Negative","on flight 534 SFO->BOS. wifi is very slow. Web works but email doesn't. Tried two different devices. Thought you'd like to know."
"Negative","Can not find this. In the vCenter Server Appliance Management Interface, select Syslog. If I saw something labeled syslog, I wouldnt be in this KB. Need more steps to what this is. I am loged in to the VCSA Web admin portal but no idea where the syslog button is."
"Negative","As a last ditch effort I tried vCenter Converter and am managing to maintain a 2Gbps throughput to a Windows VM located on that same host using a different SSD array.  Still nowhere near what it's capable of, but much better.  This should only take an hour or so and hopefully finish.  I never could get the native OVF export to finish downloading the vDisk.  It always stopped the transfer well before reaching 100GB"
"Negative","Yes I found that and would agree, except that it was working great until the App Volumes agent update.  Edit: verified I'm on VMFS 5"
"Negative","Kristina,  Any updates from your side ? I volunteer for beta test :)  - really need that app running as workaround are driving me nuts ...."
"Negative","Article is about creating a MacOS virtual machine in Fusion, but doesn't explain HOW to..."
"Negative","Too bad. Thanks for your reply!"
"Negative","going shopping today! (my favorite thing) and getting new wire for my braces...not my favorite thing"
"Positive","http://ow.ly/ix4la  Attend the vmLIVE session on 3/11 to learn more about the new VMware Cloud Credits Purchasing Program."
"Negative","No, from what I gathered there was one. It was just hopelessly f***ed up."
"Negative","o dear, what happened to me... I am now also an iPhone(3Gs) owner"
"Negative","@bencasselman Huh? Paying less tax is not the same as the govt ""helping"" me. It's my money."
"Positive","Is there a list of clients that support that protocol?  I'm looking to buy some new zero/thin clients soon and want to be able to leverage new features."
"Negative","Morning all.. I hate weekends online; crazy busy in World of Warcraft but my email accounts are so so quiet"
"Negative","DUDE.... i need to do my hair for reals!!!!! ehhhh Im too lazy tho!"
"Negative","it is not one of those reasons listed.  I will check the EVC level.  What is odd is that it is not the same for every VM.  I can migrate some VM's in the same cluster to to same host pair but it will give me this error.  Then I can pick a different VM and it will migrate fine."
"Negative","Not sure why I wasn't seeing this before.. Sigh. I'm kinda stressed out right now I guess."
"Negative","The issue is with the cpu not with the hypervisor. Same rules apply"
