label,text
"Positive","You need something in the cloud, accessible to all those points, not copied / synced between them."
"Negative","a further note.. I'm not sure this is a DSW issue, but perhaps LACP (which I think requires DSW).  The first host worked fine, but when I add a new LAG to the dsw and assign the physical adapters on the second host to uplink ports from that new LAG then I get a timeout error in vcenter.  I also see the interfaces on my catalyst 3750 going up and down repeatedly.  The switch configs for both hosts are the same.. I mean, different port-channel interfaces, but the same beyond that."
"Negative",".......... I just fucking rolledback :( ughhhhhhhhhhh earlier today...  I am going to wait a month on this one guys."
"Positive","Learn how you can close deals faster using the vSphere Optimization Assesment (VOA.)  http://bit.ly/1MKVBY9"
"Positive","VMware Engr has been working with Veeam regarding the vSphere 6.7 Update 1 issue - Hopefully we'll see an update to Veeam's KB which clarifies the issue. \n\nThe good news is there's no software defect nor regression. Also, KB has been updated to state support for 6.7u1 is TBD"
"Negative","its not working. i just made my dad waste $19.90"
"Negative","Upgrading of hosts is too involved. It will be easier to re-install from a fresh ISO. The documentation around updates is hopeless."
"Negative","gah!!! i am so confused i sent my class schedule to the wrong lady  oops but the new lady sent it to the old one and the old one wants to"
"Positive","the one to get vcp5-dcv by Brian Atkinson... you gotta start with the best so you can gather enough to want to do the certification"
"Positive","Did Apple announce new 32GB memory support & USB-C Mac Mini's yet? ;)"
"Positive","Alright, so this is going to be a little funky here, and there is a very good chance of fucking everything up...  If you have any space available, use something like gpartd and create two partitions.  Make one a few gigs in size and give the other partition the rest of the space.  Then install ESXi on to the host.  When selecting and install location, select the partition you created for ESXi.  It MAY show up.  And by may, I mean there is a snowball's chance in hell it does, but it depends on how the RAID controller presents storage to the OS (ESXi).  The indication is essentially a WWN address, followed by a colon and a number.  The number after that indicates the partition.  If you select that, the installer will ask you if you want to format the disk.  You tell it ""fuck no"" and be on your merry.  That should do it.    Aaaand sorry for the formatting.  I do not think I have had enough Jameson."
"Positive","The anticipation is over! Here's what's NEW in #vSphere 7 Core Storage: http://bit.ly/38Xxvua"
"Negative","NO! He's not feeling well?! Well, I hope he feels better soon"
"Positive","Have you heard? We've added the #Kubernetes Container Storage Interface for #vSphere into #VMWonAWS! Learn more: http://bit.ly/2uW3z3T"
"Negative","Mouse lag/jumping on MacOS 10.12.6 is killing me. Reset the SMC. No luck.. Come on Apple, you are better than this. This is unusable."
"Positive","Just install esxi on the server and the fat client on your laptop and your good to go.  Using vsphere server will require a licence I believe? Someone confirm? the fat client will allow you to connect directly to the host."
"Negative","it's the Prom C chef. Not sure why they moved him."
"Negative","I don't think I could be more jealous right now. Sucks about Salvation tho"
"Positive","we love you to Nastia!!!! If I were a teen, I'd vote for ya, but it won't let me!"
"Positive","I'm wondering when they are going to update for V6. I know v5 is deployed a lot currently, but it seems to make more sense to me to do the v6 courses if I would take them."
"Negative","My "" Automatically connect new USB devices"" was deselected, but it still keeps  Automatically connecting USB devices"
"Positive","or is there even an advantage (performance wise) to disable EVC.  yes"
"Negative","half way through New Moon, starting to bore me... i could just wait for the movie november"
"Positive","Send an internal email to me to see the OOO triage email I've been using for a month. It's been helping. A lot."
"Negative","I thought you had to take the test within so many days and had to take an in person class? Or was my vcp4 instructor an idiot?"
"Negative","Doesn't actually show me which menu item I use to enable a second monitor."
"Negative","Yeah, I just found their site. Not sure if it's worth the investment at this point, unfortunately"
"Positive","omg dude i cant believe i missed the e3 episodes  il watch them now =D"
"Positive","Time to take my kids out to dinner. #LazyDad #Wifeisaway"
"Negative","It is a citrix VDI farm and I asked twice weekly from December 2015 to April 2017 to put the VMs in stand by or power off when the user logs out.  I was told that I don't understand the paradigm of developers waiting 4 seconds for a desktop to boot.  Then they ignored my warning about adding CPUs to VMs ""My VM is too slow, add RAM and CPU""    I can't patch.  I can't update firmware on UCS chassis.  I am starting to get snippy when they ask me what can be done, then being ignored.  We spent 500k on new HP servers that have been online since February 1st that just this week they starting standing new Citrix XA servers.  I spent 4 weeks working with networking begging them to stop using LACP on my uplinks.  Finally they caved and the flapping stopped.  I could go on, but this is not as cathartic as portrayed on television"
"Positive","@h0bbel @fbuechsel A lot of nit-picking over a word choice.. If that's the least of our issues, we're doing fine."
"Positive","You'll only see heavies flying when they need to reposition aircraft. Otherwise, 737,757,a32x. All full."
"Positive","When I was only a young junior engineer, Andy Grove reached out to mentor me! What a blessing."
"Positive","After mowing and weedeating all day im a nice shade of pink"
"Positive","this is correct you do need vcenter, I assumed he had it and understood the requirements of what he was asking."
"Positive","SAS 15K pool on a EMC VNX5200 connected by 10g iscsi to cisco blade chassis.  I think by what I can figure out our vendor did some stuff that is not of the best practices when they set it up."
"Negative","I'm simply here at the hotel room. Pretty bored. My best friend just left with her new boyfriend. I won't lie...being alone kinda sucks"
"Negative","Trying to find a simple download piece of software and cannot locate within your website!"
"Negative","nope not feellin 2 gd       got a fckin heat rash on ma face"
"Positive","@DuncanYB well I just assumed his invite was a given :) I was talking about the ""rest"" of us"
"Negative"," I smell a Powercli bug.  I think you're right, I just tried that code in my lab just now w/ my own PG's and it's dumping out the same errors.  I would be interested to see if any of the PCLI team is on here knows about this, they've been notoriously silent on the forums lately.    OP, have you posted on VMTN as well?"
"Positive","We've summed up top network #virtualization news just for you! Check out this cheat sheet of our top 5 posts  http://bit.ly/2C4MCpX  #NSXmindset"
"Negative","Windows 10. The ""Remove/unistall"" button is grayed out."
"Negative","R.I.P. David Carradine! A very sad day"
"Positive","Alrighty. I appreciate all the help :D"
"Positive","Boss can be mirrored between 2 devices to support a failure but the MTBF on a USB drive vs a M.2 is massive.  Also, as we move more and more to HCI we need to think about node surviving a bit more."
"Positive","RT @PlanetV12n: VIDEO: Best of VMworld Europe 2010 Awards Show with Mike Laverick (VMware Videos)  http://bit.ly/a9QxLs"
"Positive","Wanted to post an update to this... we figured out the issue. The veeam backup server was throwing out proxy arp advertising itself as the gateway...."
"Positive","That is a pretty good bet, I had to add a VIB to even get the NIC to be recognized. I have that many cores on it because I'm also running Plex on it, but that's secondary since I can outsource that into another VM. I will give Server 2016 a try, as long as I can get the storage pool to be recognized I'm good with alternative solutions :P  Thanks for the suggestions so far, I'm open for more input"
"Positive","nope, not a typo. PowerCLI doesn't expose all the ovftool options, hence its required for VCSA deployment :)"
"Positive","oh ha, I forgot about this, I was told that its best to manage hyper-v core through powershell one time hahahah, I about lost it."
"Negative","I need to know when my licenses will expire and that information doesn't show in the licenses tab."
"Positive","Thanks but I'd like to be able to query vCenter for all hosts and get a joined date if possible. That way I can target any new hosts so I can update their firmware."
"Negative",":O. wtf. why do i not get a kitten?!?!  btw, i cant see the picture either. :|"
"Negative","Summer starts oh boy how lame in a weird out mood"
"Negative","Nadal, defending champion for Roland Garros, just lost to Soderling! Undefeated for around 30+ matches in French Open  lost"
"Negative","It was like 90 degrees and all i did was run, seriously i got to the end and my hair had gone all curly  i looked a right state but its -"
"Negative","I found these articles. These solutions did not work for me :/"
"Negative","for the lazy, article is from 2014: ""Virtustream anticipates it will be profitable by the end of this year""    So unless there is other public information, its not as of yet turned profitable. Gross revenue is not the same as Net revenue. If you sell beans for $100 million, and it costs you 100 million, it wont help your piggybank at the end of the day."
"Negative","I guess that didn't work for me... I set 2 NICs to pass through, but, it stays Enabled / NEED REBOOT. The problem is, I rebooted the host 6 times and it stays like that, NEEDS REBOOT...  Everything I tried it does not work...sigh"
"Negative","And a terrible UI to manage them."
"Positive","Drumroll please...Introducing the new VMware Partner Professional Services Program. Watch this to learn more:  http://vmw.re/1NG4EbX"
"Positive","Nice!  Haven't seen this yet, looks really interesting!"
"Negative","Where are the logs to trouble shoot why predefined  baselines are not being updated?"
"Positive","Are you running clustered CAS? I've had a problem way back when, in 5.1. Customer had the idea to install 2 Exchange Servers, each with CAS + MBX, DAG the MBX and cluster the CAS. Whenever DRS brought these VMs together, the CAS Cluster would fail. Something about the heartbeat network... Can't remember now. Hope this helps you!"
"Negative","I'll check on the the version.  I do get the self-signed certificate alert, but it still throws the error."
"Negative","My head hurts, and feels like I got a cold... damn"
"Negative","Not sure if it is available this early in the boot but can you alt-f1 to a shell or alt-f12 to the log stream?  May give you an idea about what's gone wrong"
"Negative","We have a similar virus sweeping through my workplace. Cryptolocker. Its a bitch to remove."
"Positive","Yes, like yum or apt get to install them. Most appliances we have now run open-vm-tools themselves anyway though and if not you probably won't easily get them on and the default VM tools may be all that works. Lots of special cases and locked down access to the OS there!"
"Positive","We are not on 6.7 yet- 6.5 latest.  I didn't think about the BIOS. Let me check that.  Thanks."
"Positive","Watch how SugarCreek transformed storage across its data center. Optimized production and distribution thanks to vSAN's storage solution : http://bit.ly/2ooHiVW"
"Negative","Which version of esxi is having this issue? We have had multiple host crashes running 6.5U2 and latest patches. Getting nowhere with support at the moment."
"Negative","@Josh_Atwell Awful. :( \nBoth my parents had it when I was 16. Dad died 6yrs later, Mum is a 38yr breast cancer survivor"
"Negative","Never happens to me in all of our vcenters. Maybe because I use Firefox? I do feel update 2d for vcenter 6.5 is a little sluggish. Slower that update 2 anyway."
"Positive","We have it integrated through SCCM and use it on servers currently. I'm happy with it there. Another question, do you have an SCCM client on your base image?"
"Negative","Ah sorry, I meant to recreate the export policy (I'm not on the storage team myself, had simply received this feedback). We don't use a user/password, it is only filtered on IP."
"Negative","With raid 1/10 you loose half your capacity also.  Nothing new here.  Going single socket you can cut VSAN licensing in half.  OS only data stores are a bad idea (Duncan has a blog on this)."
"Positive","ah! got it! thanks. One more reason to upgrade to 6, I guess."
"Negative","Or some developer putting the string in was too dense to make it a link.   [?]  You are more forgiving about a job done carelessly than I am."
"Negative","Was a little late yesterday, yes, the Portgroup has it's VLAN ID set to 0 (Which corresponds, in German Vsphere at least, to none)"
"Positive","Microsoft's licensing is very clear about physical cores meaning the host hardware not virtual hardware .  What you set in the vm settings does not change the licensing."
"Negative","Todays the global regent and I'm gonna fail so badly  not Excited at allllll :/"
