label,text
"Negative","Well dang, I could have _not_ put up with that awful install process...  Seriously who thought that was a good idea?"
"Positive","New! VMware vSphere: Install, Configure, Manage  for vSphere 4.1, featured in today's Services and Technical Flash!  http://bit.ly/cTUtAC"
"Positive","http://bit.ly/1hNcRNH  Attend the Quarterly Partner Briefing on Feb. 5 to get the latest partner info & news from us. Mark your calendar now"
"Negative","I am seeking information on what the icons on Workspace One mean for the status of apps (e.g. green tick, black tick, dashed line etc). This feels like the right page but that info is not there."
"Positive","Expert marketers drive more revenue... Use these resources on the Demand Center to brush up on your marketing skills.  http://bit.ly/1xaWNRV"
"Negative","That's a shame to hear. Anyway this API can be called? I initially found it via Chrome Developer but even copying the exact cURL requests, it says invalid token ..."
"Positive","I would imagine we will hear something at VMworld at the end of August."
"Positive","Best wishes for a speedy and cancer free recovery Aaron! Go kick its ass!"
"Positive","http://bit.ly/17g63VU  New Partner Central 'Getting started' live demos series schedule now up - multiple sessions for partners worldwide."
"Positive","Excited to see @vmwFoundation #vGiveBack is returning to #VMworld this year. $250K was given to charity last year,what will it be this year?"
"Positive","The market-leader in #HCI, see what's new with the release of #VMware #VSAN 6.2:  http://vmw.re/1RtrMRu   http://fb.me/7CeXIwXNa"
"Positive","It is a Godsend especially if you only travel w/ carry-on (like I do)"
"Positive","#VMworld is only 9 days away! Explore #VSAN and much more at this year's show:  http://fb.me/7tMmxHJiV"
"Positive","Just heard from an amazing customer deploying over 170K+  builds per month for CI/CD workloads all running on Virtualized MacOS on vSphere! Impressive scale"
"Positive","Thanks.  His parents were champions but he was born with a slight murmur (cleared up) and a hernia so he was no longer considered breeding material. He will be 6 in July. \n\nHe's an wonderful dog.  Except for the shedding. AKA ""German Shedder"""
"Negative","Was a &quot;slow&quot; day... I really need a job so bad  Good night, tweetworld!"
"Negative","Oh dear - your weekend not as wonderful?  (Norfolk?)"
"Positive","click on the little smiley face in the upper right corner of the html client and report it there. I was told by a vmware employee that this should go directly to the development team."
"Negative","Where are the VMC+EC2 architecture limit references? At very least there should be pointers to AWS documents for EC2 specific limits"
"Negative","My dad has lost my collage forms"
"Negative","None, I'm boycotting the web client"
"Positive","Appreciate the replies. The current vCenter server 6.5 (Windows based) will not be migrated to vCSA. Only the AD domain will be changed - Windows server running vCenter will be disjoined from old domain and joined to new domain. During this process the FQDN will have changed already. I'm unsure if the old FQDN will be buried/referenced in the vCenter DB and cause issues. If I was using a vCSA - VMware clearly state that the FQDN can't be changed and a redeploy is necessary. But for a Windows based vCenter 6.5 - unsure of same applies. The ESXi changes and SSL regeneration changes are straightforward but unsure if there are other changes required if indeed, changing the FQDN of a Windows vCenter is supported unlike the vCSA."
"Negative","Did you schedule an evening session, perhaps?  My calendar view broke when I scheduled one of the 8-midnight Hackathon sessions.  It works again if I Unschedule it.  I guess because the calendar doesn't go past 8pm?"
"Negative","daaamn, I aint even get tha chance to twit yesterday  ah nigga was busyy .. but I'm layin here in bed @ 5:48am EASTERN; still kinda tired"
"Positive","Oh, this is a great thing to know. Thanks for that brief explanation, it really helps my understanding of the naming convention for other drivers moving forward."
"Positive","I noticed after my post you're probably from a DACH country (checked your post history because I had assumed USD), if you need German-speaking assistance, PM me - I'm in Germany :)"
"Positive","Cool. MAVEN made it into Mars orbit.. Nice work @NASAJPL !!"
"Positive","- evaluate if your SRM ""plans"" will migrate accordingly, or if you need to create them again - make sure that you can use your currently installed version of SRM, with the vCenter appliance version that you choose to migrate to, otherwise you will need to reinstall on both locations - have lots of patience and read the relevant KBs"
