label,text
"Positive","You can never have too many of those wind up walking robots."
"Positive","most definitely. Been enjoying his stuff for years I tell you what."
"Negative","Under deployment there is no System Configuration"
"Positive","I don't see a problem with it, my thoughts are that the VCAP5-DCA wil be around for a while so you can do the VCAP5-DCA then do the VCAP6-Design to upgrade.  I purposely did the VCAP5 so I could then upgrade to VCIX via the Design exam."
"Negative","Oh great, food poisoning, my fave!"
"Negative","I'm awake. On a Sunday morning and at punggol. Super tired"
"Positive","VMware targets cloud and container networking with latest NSX-T launch  http://bit.ly/2nRpvbV  via @NetworkWorld"
"Negative","Pissed @ Ulric because he's leaving Friday!"
"Positive","I just got in after refreshing a bunch of times."
"Positive","http://ow.ly/n61Hr  Learn how you can increase your deal size by selling VMware vCenter Log Insight."
"Positive","These....are....awesome....  Currently using 2 stacked for the LAN connections on our hosts back to a ICX7750 via 40gb stacking and 2 for isolated iSCSI traffic."
"Negative","what a jerk!!! I'm suppose to be your fav"
"Negative","I'm not even sure that is an option anymore.  The only options you can for memory allocations global to Workstation. It looks like you can indeed select ""Fit all virtual machine memory into reserved host RAM."" But that is not the default setting."
"Negative","whoops seriously thought it was mine  my b.  I will buy you a slice sometime."
"Negative","nooooo my plans for next week just went down the drain. all booked out. damn it. waited too long."
"Negative","If you click on Download Remote Console link then it should download.\nWhy do I need to go to VMWare website???"
"Positive","You will be in breach of terms of software license with Dell.  They are not expensive to buy. Speak to your Dell rep."
"Positive","Thanks for letting me know. Now, I'm trying to figure out how to edit an existing link ..."
"Negative","And, as usual, I'm here to catch it.."
"Positive","See ya in Vegas Keith, glad you're attending"
"Positive","I always check the notes on the VM, typically the vendors put in notes about the product that differ from the types of notes we'd use ourselves.  It's not foolproof, but it's been pretty effective for me if no one else has a better way to detect it."
"Positive","Hasn't been many good shows lately, least ones we want to continue following.\n\nJust finished Breaking Bad series (again), its that good!"
"Negative","Mind if I ask where you got it? I'm after a copy of 6.0u3 and I'm running into the same issue."
"Negative","55MBps sounds really slow for a sVmotion"
"Positive","I've been talking myself out of the gym all morning  lol"
"Positive","Are you sure you need to convert it? If you connect to the vCSA with the Workstation client, can't you drag\\-drop the VM locally?  Shouldn't need to convert vSphere to Workstation, Workstation has a newer virtual hardware version capability than vSphere 6.5."
"Positive","One thing to make absolutely sure, do you want to keep snapshots on the VMs?  For developers and testers I know at least in our environment they have a 'clean' snapshot that they revert to all the time after their testing is done, or various snapshots for different stages of testing.  Most solutions (including Veeam) will not keep the snapshots.  The only two ways that I have found to keep the snapshots during migrations like this was to SCP the data from one datastore to another or vMotion the VMs."
"Negative","Wheres the part where they start charging for every feature?"
"Negative","needs to go to bed! but im not tired"
"Negative","Seems unreasonably slow. What's your ESXi build number?"
"Positive","just watched the strangers.....i am now really scared hahah"
"Positive","Whichever is easier.  Shares are that much easier than the insanity of resource pools - that get nested and added to Willy nilly then nobody understands the ramifications."
"Positive","Do not seek revenge or bear a grudge against anyone among your people, but love your neighbor as yourself. I am the Lord. Leviticus 19:18"
"Positive","Hahahaha, that's awesome.. ""Oh, so YOU'RE his wife.... Well.... That's nice....""  haha"
"Positive","Ahh 21 future sales phone calls and emails. Good haul for one day."
"Positive","thanks Dave! You know where to reach me if you need the lifeline. ;)"
"Negative","Tracey Joy, I am soo sorry for your loss. Call me if you need anything hun."
"Positive","In 6.0 you have to use the installer. In 6.5 you should be able to deploy the OVA directly although I haven't tested it myself. If I recall, it should work.  You might try using the installer (which, by the way, in 6.5 is available for macOS and Linux) to see if you get a different result."
"Positive","solved it, i accidentally left in an extra bit of code from the old VMX file on the new line of code."
"Negative","Not blaming the hypervisor at all (although ESXi 6 is a buggy mess), doubt it's related but as I stated, it has been so long since I've built a physical Windows server.  Is it really that hard for someone to write ""Yes, I have this problem all the time, I just uncheck the following xxx updates and it seems to work"" rather than lobbing insults."
