label,text
"Positive","How is it only 6,000 per month?  The 8.37 is per host, with 4 host minimum which means the cost is really 24.00+ per hour."
"Negative","Don't use vlan 1, it's effectively the same as VLAN 0 (untagged) and will cause issues."
"Positive","Doing some work / TV catchup while everyone is asleep ... for now. The Strain has been pretty interesting & same w/Wayward Pines"
"Positive","I dunno, that Musk guy has a much better hair line now.."
"Negative","*Oh god.*  I cannot believe I did not remember that the snapshot contains ALL the info up to date. I remember now a similar lesson in my personal lab...   Not that it would have helped considering he went ahead and did it without a backup before I even knew what was going on.  He's saying that he deleted it through the vCenter GUI. While I agree that he should have been less hasty in deleting the snapshot, what do you make of the message that the VM has reverted to the snapshot seemingly without manual interference ?"
"Negative","there were flies in the rum i have been drinking all day  ALL DAY, because I am an alcoholic."
"Negative","Windows Server 2019 is NOT support for View Composer ?"
"Positive","Interesting read   Thanks for sharing"
"Negative","His WiFi dropped mid-post apparently."
"Negative","It feels as though the SVN 1.5 developers took a &quot;She'll be right&quot; approach  So over this lolpanda system."
"Negative","I had not tried that, but I just tried it and it typed the password correctly.  I figured something similar might be happening (this keyboard has done some weird stuff in the past, but normally not with typing), so I tried configuring the password network information through the iDRAC virtual console, but had the same issue.  Not a bad idea though!"
"Negative","Dextrose for Cholo tomorrow. Last attempt to get him better."
"Negative","how are you pete moring? what u been up to? After nice sunny warm days it rained and got cold again"
"Positive","@jasemccarty They are at the ""friends with benefits"" stage right now. :)"
"Negative","oh im sorrrrry  we still doing the video..;"
"Positive","Speaking truth in love is all about being honest and forthright with those you love. Scripture shows us why such a simple lesson can be so important. #Faith http://bit.ly/2VvFnMR"
"Positive","@storagesport ""Oracle making it easier every day to do business with a different vendor"""
"Negative","I don't think I wanna know what goes on in that head of yours sometimes.. Ahw KK get better  no more vodka! And no judging lol"
"Positive","Refer a friend to VMworld, win a 50"" TV or Flip MinoHD  http://bit.ly/vmworldreg"
"Positive","Check out this report to discover the 5 important ways that Virtual SAN lets enterprises improve storage...  http://fb.me/3U2OAKCkk"
"Positive","HAHAHAHAHAH I'm still sad.  no one to kiss me. You want? HAHAHA."
"Positive","Seriously, it makes it really easy."
"Negative","RAFAEL IS PISSING ME OFF. We were in the store and I got lost and he yelled at me cause i couldnt find him"
"Positive","Sounds right. It seemed like quite a few people were there.  It was my first time attending and I learned quite a bit. Great conference."
"Negative","- Migration to a new vCenter - Implementation of a DR solution that results in VMs moving between different vCenters - Corruption/technical issues with a dvSwitch (I have had this happen once and it was not fun)"
"Positive","http://bit.ly/zq2KRa  Tell us your favorite thing about a VMware + Partner solution and you could be going to VMworld - for free!"
"Negative","aaawww batteries all charged up &amp; nowhere 2 go .."
"Positive","good info.  I've used this method before and it works perfectly.  I have a VM configured with a RDM to a local SSD."
"Negative","D'aw~  I would give you ( a very bad, but I would try! ) back rub. If you get my shoulders/neck :3"
"Negative","It's the marketing definition of ""general availability"" - it's *ready* for it, but not *actually* it :)"
"Positive","Veeam Endpoint is free and also supports scheduling, however, it's not a native vmware snapshot based backup (mainly used for bare metel servers). I use it for customers who can't afford to pay for the full license and it works great! I've used it for doing P2V transitions."
"Negative","Why is this not reflected in the app?\n\nThe aircraft has arrived. It's going to be a really long night."
"Negative","i would've loved the rain if someone was with me"
"Negative","Emad isn't the only one with mad light board skillz..."
"Negative","Oh woe is me - where is my Pemrokeshire tea?"
"Positive","It's getting near that time, huh? :)"
"Positive","lol I don't think many people are online RN, though  SEXY RONNIE DESERVES A CAPSCHAT THOUGH, GD"
"Negative","oh crap i missed the workstation part!   sorry there is no encryption in workstation"
"Negative","No, I would not have. Although Bernie is at least consistent in his message & doesn't pander, he doesn't get economics. He wants socialism"
"Positive","I've done it this way on 3 separate occasions, and has worked without an issue. If you can't get away with turning the VM off you may have to use a host as a transition avenue, as long as it can see both the networking and storage you'd just have to do a number of disconnect/reconnects between vCenter's to shepherd the VM's."
"Positive","We've been working on some Cisco studying so we can offer the same (already sell plenty of EMC and Cisco networking, but we haven't attained ""Datacenter"" qualification yet). Glad to hear you're having good luck with it!"
"Positive","This is not direct answer, but you should consider migration to vCenter Appliance usage instead. You can use well rounded Migration workflow for this.  *Remark*: I run consultancy service in this area, feel free to DM for private assistance."
"Positive","Sure thing. It's rather an expensive service to be perfectly honest, but great for large organizations where they can afford it plus that extra attention is a must."
"Positive","To add to this vCAC also gives you the ability to allocate and manage resources based on the requesting user's role,  department,  etc to limit for example how long a VM can live.  While you could create deployment and destruction workflows in vCO, doing so would be cumbersome and not worth the time.   Orchestrator also has a lot of plugins to automate external infrastructure like Infoblox or Cisco UCS whereas plugins for vCAC are limited or being moved to Orchestrator.  Using Orchestrator can bring immediate value in automation and the workflows can be integrated with vCAC when self service is desired."
"Negative","I take it ESXi is unable to clean up after itself and/or clear partition from a disk by itself. Incredibly stupid."
"Positive","Softball game tonight cancelled...  To many stores have RZ events. Mark that up as another &quot;W&quot; for us!"
"Positive","Good call. OP needs professional help."
"Positive","I'm running the latest version 6.7 and have been for about 4 months.  It's been rock solid.  No issues at all.  Yes - it will work with 6.0 (any version) but nothing that's 5.x.  HTML5 is the future.  The Flex (Flash) client is being phased out.  I like 6.7 because the HTML5 client is pretty much full featured in it.  I haven't found anything I need to go back to the Flex client for yet."
"Positive","http://ow.ly/dDNbw  Come and Get It - VMware vCloud Suite 5.1 Now Generally Available in Three Editions"
"Negative","This guy is correct.  If you truly received a quote from Dell where they doubled the price of RAM and said it was due to Nutanix, you should take it up with your Nutanix rep - I'd suspect they didn't even know about this quote."
"Negative","jobless sux..  my daughters good-been sick on &amp; off a couple wks...ive been lucky-only got a touch of it..seems every1s sik"
"Positive","get a trial of something like VEEAM. It will allow you to replicate live VMs (if you so wish) out to OVA so you can port things around to HyperV or the cloud."
"Positive","Back from my 10hour shift! Happy fathers day people... I'm ill  can't believe the last silverstone grand prix is over  gonna miss it!"
"Positive","Cloudmech, which Fling are you looking for? I might be able to help."
"Negative","You can do it per portgroup, just like you can set teaming settings per portgroup.   I've had to use it once with a client, where the switch didn't detect that the port failed and esxi kept sending data through the dead port."
"Positive","Here's how you can accelerate profits in this new year with Power Plays. Don't leave money on the table.  http://bit.ly/1BshVDc"
"Negative","Kinda dreading school, cuz i have to be mean today."
"Positive","Yawnnnnn!!! Boring saturday ... didnt know i had so much of sleep debt ... slept like a log thru the day .... and still sleepy"
"Negative","LOL  Boy I have to say you have quit the following. I'm lossing people."
"Positive","Carve out time today until Thursday to stop by #VMwareCloudCity at #VMvillage. Attend Q&A sessions, meet existing customers, get hands-on training & test your knowledge of #VMwareCloud use cases to WIN 1 of 3 drones!"
"Negative","Nataly hasnt been in school for so long"
"Positive","Two outstanding women in tech leadership are featured on theCUBE. Watch the replay here:  http://bit.ly/2xbifdc"
"Negative","I'm having trouble cloning,,, its slow... so far the info I find doesn't apply"
"Positive","gummies  i can't eat that (n) i'm on a ''diet'' hahaha :B .. btw: i like your picture"
"Positive","The lazy man's approach. I dig it!"
"Positive","I've played around with Forscan.. (enabled the brake controller I added for example). If I could score all the parts for under $500 then it might seem interesting. But I have other stuff to spend $$ on. (trailer backup camera for example)"
"Negative","Some people need to seriously get a hobby.  Sorry @trent_reznor, because of a certain person, all bets are off.  I tried."
"Positive","Well, it IS an old processor generation. And it's quite possible that W2016 is more optimized to run on a newer processor."
"Negative","Do you have the NICs for the VMs set to VMXNET? That's best practice--we had issues with some of our servers when they were left on the default E1000e adapter."
"Negative","I actually called into vmware and the support guy said only the latest version would be offered. I saw a drop down on the download page that said I was not authorized and would need to register for a trial but, when I dot the the actual download page for the trial, there was no drop down asking for a version."
"Negative","Ik, but I was hoping she'd say its just a rumer"
"Positive","This was it. I first tried doing it under the advanced settings, and I noticed later that my changes were missing. I went back to the regular Settings panel and changed it there. Glorious 4k!"
"Negative","I WANT MY PICTURE WITH THE JONAS , I CRY  *"
"Positive","If you weren't able to tune in: Great #AWConnect recap featuring VMware's @spoonen, @noahsw & I:  http://ow.ly/TBfCa"
"Negative","re Murdoch microcharging, isn't this a great op to kill News Corp? bet the sheeple will pay tho"
"Positive","Sweet. Sorry the process is so painful, but I figure it's better than leaving the disk unused."
"Positive","settled for the cooler looking, cheaper 'not worried if it gets stolen' guitar, haha. RG Ninja FTW. GAS'ins for ESP and Caparison though"
"Negative","And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
"Positive","Attend this vmLIVE on July 30- learn how to crate a true integrated marketing program via the Partner Demand Center:  http://sforce.co/1Lyt7nC"
"Negative","It shows error now on vcsa console NMI watchdog: BUG: soft lockup - CPU#0 stuck for 23s! [Khuyepaged:23]"
"Positive","Ohhhhhh, I'd love to get ahold of that, count me in!  I've been digging your videos and look forward to you keeping it up."
"Positive","Do you have a vCenter server? Check out autodeploy."
"Positive","Stop looking at me funny. I know it's snowing. I know I'm in shorts. No, I'm not cold."
"Negative","I tried using this and it doesn't unlock the macos option for me."
"Negative","typo on service vco-configuration stop  should be service vco-configurator stop"
"Positive","Thanks for the clarification - I had thought you could 'demo' on the test track and sit the actual exam @ VMworld!!"
"Positive","haha i couldn't, my dad is watching tv"
"Positive","I can't speak on running bundled vNICs, however, in ESXi 5.0 and 5.5 we've been experiencing a bug where portgroups that are set to trunk mode will randomly stop passing any traffic. From within the VM it appears as if the NIC is still up and everything is normal, but no packets will go through (I've only noticed it on CentOS, but none of our Windows VMs have any trunk NICs.) Restarting network service generally gets traffic flowing again. it would be interesting to experiment with bundled NICs to see if they both go down at once or not."
"Negative","Sounds about like what we get with dell. The worst part is not being able to open a ticket with nutanix directly. Have to go through dell."
"Negative","It says that one can add or remove a DS to/from a DS cluster but it doesn't say how.  That is what i am looking for:  ""how"""
"Negative","I can't sleep once more. Plus, watching Dairy of the Dead is making me less sleepy"
"Positive","Well, i know it is possible:) Does Vmware provide any white-paper or case study regarding VIO?"
"Positive","We'll be live-tweeting the Wednesday General Session in 10 minutes! #VMworld"
"Positive","Just caught up with @kmruddy on our @VMworld session on #VMWonAWS Automation, going to be a fun one! Looking forward to presenting with him, this is actually the first time, surprisingly!"
"Positive","I had heard rumors of high end UCS Blade configs not being able to be fully powered in a UCS Chassis  I've been running 30 fully populated chassis for almost 7 years now, and have NEVER had this problem - one of my chassis has B200 M5s running \\~150 VMs each. I think that's fake news, or a customer not willing to admit that they haven't done enough work to supply the chassis with enough distinct feeds."
"Negative","current iOS app + iPhone 6 + iOS 11.x is awful.  Very slow to respond. Sometimes just hangs up. Must restart the app a bunch of times. Pls optimize for ""older"" phones.  (And yes, 11.x itself sucks on a 6)"
"Positive","I was slow to learn this lesson- the need for time off, particularly w/ family. See how your relationship w/ PTO is: http://bit.ly/2w2ftaT"
"Positive","Yeah, I know, just for me EMC == Storage."
"Negative","Apparently I have a virus, so the doctor's ordered me to stay home and rest until Thursday."
"Negative","Its such a nice day beside the fact that its like 100 degrees outside and we're moving. I wish I could go to the beach instead"
"Positive","There a reason you're stopping at 5.1?  I'd seriously look at 5.5 if at all possible; SSO introduced in 5.1 (if using vCenter) was buggy as heck; 5.5 made serious improvements.  (I haven't worked with Essentials, only Free standalone hosts and Enterprise/Plus with vCenter Standard)"
"Positive","Thank you. It's well done. You are the 4th person to tell me."
"Positive","Mellanox SX1024 might be of interest to you (48Port 10GbE + 12 40GbE/56GbE ports). For us we only need the SX1016 (64 port 10GbE) but the price p/port was unbeatable and delivered in our requirements for performance with our EMC arrays.   [Interesting report on Mellanox and buffers](http://people.ucsc.edu/~warner/Bufs/mellanox)"
"Negative","I'm cold. I need my Joe posters"
"Positive","http://ow.ly/ilG6N  Have you activated your Partner Link account yet? Securely connect with VMware subject matter experts and your peers."
"Negative","Date is okay in VMware Horizon View Client, but timestamp seems to be just under 6 hours behind."
"Positive","Download the VMware Corporate Story and share with customers today -  ""One Cloud, Any Application, Any Device.""  http://vmw.re/1CKZdHK"
"Positive","Worth mentioning here that VeeamFree can be scheduled using PowerShell (they're own blog has a sample script on how to use it), but you are correct that there is no incremental support (and apparently no application aware guest processing)"
"Negative","I architected the Horizon View VDI environment for one of Dell Services largest customers. They had Unidesk, and I migrated all 500+ users off to Horizon with App Vols. Unidesk is great in theory, but it didn't work in prod for us. I was manually reBIC'ing the same desktops daily. Having to manually extract data from corrupt VDI daily. Opened numerous support cases and only got 1-off fixes and promises for better performance in the next versions. It never came, so we left."
"Positive","I did that (had to realize i need to enable vmotion on the NIC first): manual vmotion works without any issues, HA test infact also. After the warning is shown i need to wait another 30 seconds and then the VM is up. I guess i was just thinking this whole HA thing would happen in a small time span. Telling your customers this might take 5 minutes is toally normal from your experience right? Thanks btw.!"
"Positive","Can confirm this works. I just got a license key from VMUG to upgrade VSphere 6.x to Enterprise edition with Operations Management, until 31/08/2020  It's only valid for home lab setups, not production, but its still an awesome deal"
"Negative","Interesting, I will give that a try.  EDIT: After deleting all of the snapshots for the VM the issue persists."
"Positive","This is very very very easy with Veeam Free editon, I will post a link in a bit when I find it"
"Positive","So, I just decided to try again, but this time I chose one specific host in the destination cluster instead of the cluster itself (and also chose normal vMotion instead of high priority) and it's going over like it should now. Weird."
"Negative","Regarding virtual appliance, the information that the file krb5.conf is located at /etc is given too late. So at the first glznce on the page, the reader has a wrong impression that  the file has to be in /usr/java/jre-vmware/lib/security/ .\nPlease modify the contents accordinly to what is REALLY on the appliance"
"Negative"," I spent a good 3 days fiddling with it before I just gave up and rebuilt it  I'm a day and a half in and decided to ask here before moving forward with anything. On our environment it's not much of an inconvenience to delete all associations and rebuild.  We do have an active SnS agreement with vmware across all sites, but their support often isn't very helpful with these kind of things."
"Positive","Good thought, but cert is good through 2020."
"Positive","You can create a new vcenter server and point your system DSN to the existing database.  That will work like a champ."
"Negative","Susan Boyle should have won the BGT  her voice is AMAZING...but i guess for some people this is not enough"
"Positive","Well I do not have the money for the DVC track, if it still requires a 3k course.  Thanks for the information provided."
"Positive","I tested it on vCenter 5.5 U3e and it's working correctly."
"Positive","In our environment we actually manage replication of VDP in a few ways. We have straight VDP to VDP replication, but also have VDP to Avamar, and VDP to DataDomain which replicates to an offsite DataDomain appliance.  I think hands down it's a great product. I just wish the management console was a bit better. It's not as simple as something like the Avamar console to dig into a particular job and workout why it failed etc."
"Negative","due to train problems was almost late for his exam. Exam went alright. Got to go home and revise for the next one now"
"Negative","I just hope tomorrow race isnt like that"
"Positive","I wish there was a 7 Eleven!! I need some Vitamin C and echinacea.  where is a good man when u need one lol."
"Positive","Yep - in the process of doing that now, thanks."
"Positive","BTW: the Essentials package for $500 will cover cold migrations."
"Positive","Generally, the course is much more than 1500. Like 3-4k if you go through one of the big cert partners. Though, the course can be had for a few hundred bucks through one of the online Community Colleges (Such as Stanly CC). But you won't get the v6 class from them. They're doing 5.5 right now.  Also, you can sit the exam whenever you want. No need to take during / right after the class, unless you're ready. Though, some of the classes give a discount voucher that expires. Sometimes after a year or so."
"Positive","I thought i got a respond and my heart droped a lot and i got excited but then i realized it wasn't me...  sdhnashdnas! ha"
"Positive","Indeed :)  Even then, he only said about as much as you said.   From what I've been hearing (what little that is) I'd like to believe that VMware has something shiny in the works. I'll keep my eyes open for it.    As for the empty platitudes.... Every VMware employee I have dealt with has been great. I'll leave it at that."
"Negative","sorry bout heldin u up so long!"
